,category,question,answer
215,sports,Approximately how many dimples are in a golf ball?,Between 300 and 500
216,general_knowledge,The study of inland water is known as,Hydrology
217,general_knowledge,What country launched its first space rocket January 1961,Italy
218,entertainment_music,"Who Had A Hit With ""Kokomo""",The Beach Boys
219,geography,What is the name of the large natural landmark in northern Australia also known as Uluru?,Ayers Rock
220,general_knowledge,On which racecourse is the Kentucky Derby run,Churchill downs
221,general_knowledge,What did jim henson create,Muppets
222,general_knowledge,What interested a nomologist,Scientific Laws
223,entertainment_film,He was the voice of draco the dragon in the movie Dragonheart.,Sean Connery
224,general_knowledge,What is cerumen?,Earwax
225,general_knowledge,In Tokyo there is a restaurant restricted to who,Dogs
226,general_knowledge,"Who recorded ""Join Together"" in 1972",The who
227,general_knowledge,Steptoe and Son' was the model for which amercian sitcom,All in the Family
228,general_knowledge,What was the first movie Disney released through a subsidary company that carried an R rating?,Down and Out In Beverly Hills
229,general_knowledge,Australia was originally created to serve as a British ______ colony.,Penal
230,history,Who ruled England at the time of Shakespeare?,Elizabeth I
231,general_knowledge,"Who said ""The great masses of the people will more easily fall victims to a big lie than to a small one.""?",Adolf Hitler
232,general_knowledge,The star constellation Ara has what English name,The Alter
233,general_knowledge,What everyday item was named after St.Pantaleon,Pants
234,general_knowledge,Which poet gave his name to a cape south of Brisbane,Byron
235,general_knowledge,What Is An Alligators Baby Called,A Hatchling
236,general_knowledge,What did Robert Ballard discover in 1985,The Titanic
237,general_knowledge,"1n the 1960s, what was the name of the Wolseley version of the Austin Mini",Hornet
238,general_knowledge,In computing who are floppy and mootilda,Gateways cows
239,general_knowledge,Soylent Green the band took name from film and book by who,Harry Harrison
240,entertainment_music,What Remains David Bowies Best Selling Original Album,Ziggy Stardust
241,general_knowledge,Like what can a fully ripened cranberry be dribbled?,Basketball
242,general_knowledge,In what Hitchcock film did the heroine find shrunken head in bed,Under Capricorn
243,general_knowledge,If you saw Fringilla Coelebs what bird have you noticed,The Chaffinch
244,general_knowledge,What is a group of leopards,Leap
245,general_knowledge,Which countries name translates as land of the free,Thailand
246,general_knowledge,"Although not named in the new testament, tradition names the two thieves crucified at the same time as Jesus as (alphabetically)",Dismas & gestas
247,general_knowledge,Who was known as The man in Black,Johnny Cash
248,science_nature,What is the modern name for Plumbum?,Lead
249,general_knowledge,"Who said ""All the world's art ain't worth a good potato pie""",L S Lowrie
250,entertainment_video_games,What was the Earth's first artificial satellite ?,Sputnik 1
251,general_knowledge,Lockiophobia is the fear of,Childbirth
252,general_knowledge,What Was Madonna's First UK No.1 Single?,Into The Groove
253,general_knowledge,In the US what was free before 1863,Mail service
254,general_knowledge,Which jethro tull lp cover showed a man leading two horses,Heavy horses
255,general_knowledge,What is the eleventh month of the year,November
256,general_knowledge,What is the name of an Italian dessert made from egg yolks and Marsala wine,Zabaglione
257,science_nature,What is the main component of Brass and Bronze?,Copper
258,general_knowledge,What was the occupation of most american presidents prior to politics,Lawyer
259,art,This girl hid from the Nazis in Amsterdam.,Anne frank
260,general_knowledge,Which TV Show Used The Song Known As The Wizard Composed By Paul Hardcastle As It's Theme In The 1980's,Top Of The Pops
261,history,This is said to be history's greatest military evacuation.,Dunkirk
262,entertainment_music,"Which Group Took The Title Of Their 1967 Debut Album ""Piper At The Gates Of Dawn"" From A Chapter In Kenneth Grahams ""The Wind In The Willows""",The Pink Floyd
263,general_knowledge,What colour do you get when you mix blue and yellow together?,Green
264,entertainment_music,What Method Of Singing Does The Singer Alternate Between Natural Voice & Falsetto,Yodelling
265,science_nature,What is the chief constituent of air?,Nitrogen
266,geography,"___________ was called the ""Gateway to the West"" in the 1800s because it served as a starting place for wagon train departures.",St. louis
267,general_knowledge,What 1969 sex spoof had a different author for every chapter,Naked came the
268,general_knowledge,What was the first Carry On film,Carry on Sergeant
269,science_nature,Which meteor shower occurs on the 4th May ?,Eta Aquarids
270,general_knowledge,Tete-beche is a familiar term in which hobby,Stamp Collecting
271,general_knowledge,Suzy was a star of a 60s TV show what character did she play,Flipper the dolphin
272,general_knowledge,John Dick Ann Timmy who is missing from this famous five,Julian
273,general_knowledge,Which historical character is often referred to as 'The Mad Monk',Rasputin
274,history,"Who penned the words, 'Hubble, bubble toil and trouble, fire burn and cauldron bubble' ",William Shakespeare 
275,general_knowledge,"Final and decisive action of the Napoleonic Wars, that effectively ended French domination of Europe",Battle of waterloo
276,art,How Is Mrs William Heelis Better Known ,Beatrix Potter 
277,sports,Where were the 1948 Olympics held ?,"London, England"
278,general_knowledge,"The Name Of The Capital Of Which Country Means ""Good Air""",Buenos Aries
279,general_knowledge,Large rich eloborate cake,Gateau
280,general_knowledge,From whom did J.F. Kennedy accept his dog Pushinska,Nikita kruschev
281,history,Which country traditionally provides Britain with a Christmas tree for Trafalgar Square in London? ,Norway 
282,general_knowledge,Wild Australian dog,Dingo
283,general_knowledge,In Hindu mythology Agni is the god of what,Fire
284,science_nature,What Proportion Of People Are Left Handed ,About 5% 
285,general_knowledge,What does IRS stand for,Internal revenue service
286,general_knowledge,Colleen McCullough wrote which best selling book,The Thorn Birds
287,general_knowledge,"Who was the first person to reach the South Pole, in 1911",Roald amundsen
288,art,Which Colour Followed Picasso's Blue Period ,Pink 
289,science_nature,Which Lotus Car Came On The Market In 1963 And Featured In The Avengers ,The Elan 
290,general_knowledge,What does the Easter Triduum refer to ,The last three days before Easter Sunday 
291,entertainment_music,Which Black American Band Featured On The British Band Aid Single,Kool And The Gang
292,general_knowledge,Who discovered the four largest moons of jupiter,Galileo
293,general_knowledge,What is the fear of the pope known as,Papaphobia
294,general_knowledge,What is the capital of the Northern Territorry of Australia?,Darwin
295,general_knowledge,What is the study of sound,Acoustics
296,general_knowledge,Mageirocophobia is the fear of,Cooking
297,general_knowledge,Florence was severely flooded in what year,1966
298,general_knowledge,What Is The Most Common Species Of Bird In The World,Red Billed Quela (Finch)
299,history,Who Released The 70's Album Entitled Selling England by the Pound ,Genesis 
300,food,"Boston butt, jowl, and picnic ham are parts of a ______.",Pig
301,general_knowledge,What colour tranquillisers work best,Yellow
302,general_knowledge,What tough guy actor has a real first name of Walter,Bruce Willis
303,general_knowledge,"What's the international radio code word for the letter ""A""",Alpha
304,general_knowledge,Which Bond films theme tune was sung by Duran Duran,A view to a kill
305,general_knowledge,Pienaar what gender is a snail,Hermaphrodite
306,general_knowledge,Venustraphobia is the fear of ______,Beautiful women
307,science_nature,What Does FORTRAN Stand For ,Formula Translation 
308,general_knowledge,In what Australian state would you find Katherine,Northern territory
309,entertainment_music,"Which 1970's Disco Pop Band Ended Their Chart Career In 1981 With ""We Kill The World, Don't Kill The World)""",Boney M
310,general_knowledge,How to you turn a woman into a cuckquean,Shag her husband female cuckold
311,general_knowledge,The Egyptian god Horus had the head of what creature,Falcon
312,general_knowledge,Johnny Rotten describe sex as five minutes of what,Squelching
313,geography,Name the sea between Korea and China.,The Yellow Sea
314,general_knowledge,"Caciocavallo, herkimer, mysost, & trappist are all varieties of what",Cheese
315,entertainment_music,"Leslie Gore's Single ""Judy's Turn To Cry "" Was The Sequel To Which Top Ten Hit In 1963",It's My Party
316,general_knowledge,Who did Sidney say would play her in Sream 2?,Tori Spelling
317,general_knowledge,What European country is threatened by over 100 active volcanoes,Iceland
318,entertainment_music,Who Replaced Guitarist Mick Taylor In The Stones Line Up,Ronnie Wood
319,general_knowledge,What does the pancreas produce,Insulin
320,entertainment_music,Chris Stein Was A Member Of Which Band,Blondie
321,general_knowledge,What is celebrated on 14 July in France,Bastille day
322,general_knowledge,"Who was, ""first in war, first in peace & first in the hearts of his countrymen""",George washington
323,general_knowledge,In Washington its illegal to buy what on Sunday,A Mattress
324,general_knowledge,Hindu religion Batavia is an incarnation of Vishnu in what form,A Fish
325,science_nature,What Is Unusual About The Pitcher Plant? ,Its Carnivorous 
326,general_knowledge,In which London thoroughfare is the famous Hamley's Toy Shop,Regent street
327,entertainment_music,"What Year Was Madonna's ""Like A Virgin"" Released",1984
328,general_knowledge,Which role was played by Tim McInerny on TV's 'Blackadder IV',Captain darling
329,entertainment_music,Belinda Kurczesky Is The Real Name Of Which Singer,Belinda Carlisle
330,science_nature," A pig is a hog _ but a hog is not a pig. ""Hog"" is a generic name for all swine. Per hog_raising terminology, a pig is a baby hog less than __________",10 weeks old
331,general_knowledge,Where was the worlds first water clock invented,Peking
332,general_knowledge,In a French restaurant what's plate de jure translate as,Dish of the Day
333,general_knowledge,Bondi Grape Blueberry Lime Tangerine Strawberry colours what,Apple Imac
334,entertainment_video_games,What do you need to collect 100 of to get an extra life in Super Mario Bros.?                                                        ,Coins
335,history,Who Wrote A Famous Diary Between 1660 & 1669? ,Samuel Pepys 
336,general_knowledge,What did D H Laurence do with his horse Aaron when it died,Had the skin made a Duffel Bag
337,general_knowledge,Who was the Greek goddess of retribution,Nemesis
338,general_knowledge,What is the lightest known substance,Hydrogen
339,entertainment_music,"According To The Beatles Who helped them to get married in ""The Ballad of John and Yoko""?",Peter Brown
340,general_knowledge,RC Cola were the first company to do what,Sell cola in cans
341,history,Who Directed The 1968 Classic Horror Movie 'Rosemary's Baby'' ,Roman Polanski 
342,general_knowledge,What is the world's largest weekly newspaper for stamp collectors,Linn's stamp news
343,sports,Which Sport Was Featured In The Movie 'When We Were Kings ,Boxing 
344,general_knowledge,L is the roman numeral for what number,Fifty
345,general_knowledge,"Who recorded the album ""the smoker you drink, the player you get""",Joe walsh
346,general_knowledge,Flexible disc for storage of computer data,Floppy disk
347,general_knowledge,Name the first war submarine invented by David Bushnell it sank,Turtle
348,general_knowledge,What is the alternative name of the foodstuff called sea asparagus,Samphire
349,entertainment_music,"Chicago Found It ""Hard To Say I Love You"" Or ""Hard To Say im Sorry""",Hard To Say Im Sorry
350,entertainment_music,Wet Wet Wet Come From Which Scottish Town,"Clydebank, Near Glasgow"
351,general_knowledge,Who was Spandau Prison's last inmate,Rudolf hess
352,general_knowledge,Who is called the 'texas tornado' by her fans,Tanya tucker
353,general_knowledge,Which Australian city stands on the Port Jackson Inlet,Sydney
354,general_knowledge,The statue of Eros in Piccadilly Circus commemorates which Victorian reformer,Earl of shaftsbury anthony ashley cooper
355,art,"What did Jeannie C. Riley describe as ""a little Peyton Place""?",Harper Valley
356,general_knowledge,What did Snoop Dogg change his name to in 2012?,Snoop Lion
357,general_knowledge,Which cities public transport lost property office is the busiest,Tokyo
358,science_nature,What is the technical name for an animal's pouch?,Marsupium
359,general_knowledge,Name the national rugby team of Argentina,Pumas
360,general_knowledge,John Garfield and Lana Turner starred in the film 'The Postman Always Rings Twice' what year was it released,1945
361,general_knowledge,"What Spanish islands are Gomera, Hierro & Lanzarote a part of",Canary islands canary
362,geography,What mountain range separates Europe from Asia?,Ural
363,general_knowledge,The green variety of beryl is called ________,Emerald
364,general_knowledge,Paludism is an old name for which disease,Malaria
365,entertainment_music,Which Pennsylvania DJ Helped Launch Rock By Hosting Live Shows At The New York Paramount In The 1950's,Alan Freed
366,general_knowledge,To what Scandinavian country would you have to travel to watch the football team Malmo play at home,Sweden
367,history,What did Julius Caesar cross to signal a revolt against the senate?,Rubikon
368,general_knowledge,What translates and executes your program,An interpreter
369,entertainment_video_games,What was the first home console system released by Sega?                                                                             ,Sega Master System
370,history,Which new country was formed in 1971 at the end of the Pakistan / India conflict? ,Bangladesh 
371,entertainment_music,"Who Had Hits With Parodies Of Sh Boom , Rock Island Line, & Heartbreak Hotel",Stan Freeberg
372,history,"Germany's WW I allies were Austria-Hungary, Bulgaria, and ________.",Turkey
373,history,What is the Roman numeral for fifty,L
374,general_knowledge,"A carbohydrate consists of carbon, hydrogen, and which other element",Oxygen
375,general_knowledge,The city of winnipeg manitoba's by-pass is known as _____,Duff's ditch
376,general_knowledge,Who said Old age isn’t so bad - considering the alternative,Maurice Chevalier
377,general_knowledge,What measure is used for the purity or fineness of gold,Carat
378,general_knowledge,What very rude nickname was given to suede shoes with rubber soles in the 1950s,Brothel creepers
379,general_knowledge,What Is The Most Successful Comedy Movie Franchise Of All Time,Police Academy
380,general_knowledge,A belief that government and law should be abolished,Anarchism
381,general_knowledge,Mariner Chinese: What do you call a Chinese sailing ship,Junk
382,art,This magazine chronicled the Man of Bronze and the Fabulous Five.,Doc savage
383,general_knowledge,The Chinese pictogram for trouble also means what,Two women under same roof
